date_sk,date,day,month,month_name,quarter,year,day_of_week,day_name,is_weekend,is_month_end,is_month_start,is_quarter_end,is_quarter_start
1,2025-01-01,1,1,January,1,2025,3,Wednesday,False,False,True,False,True
2,2025-01-02,2,1,January,1,2025,4,Thursday,False,False,False,False,False
3,2025-01-03,3,1,January,1,2025,5,Friday,False,False,False,False,False
4,2025-01-04,4,1,January,1,2025,6,Saturday,True,False,False,False,False
5,2025-01-05,5,1,January,1,2025,7,Sunday,True,False,False,False,False
6,2025-01-06,6,1,January,1,2025,1,Monday,False,False,False,False,False
7,2025-01-07,7,1,January,1,2025,2,Tuesday,False,False,False,False,False
8,2025-01-08,8,1,January,1,2025,3,Wednesday,False,False,False,False,False
9,2025-01-09,9,1,January,1,2025,4,Thursday,False,False,False,False,False
10,2025-01-10,10,1,January,1,2025,5,Friday,False,False,False,False,False
11,2025-01-11,11,1,January,1,2025,6,Saturday,True,False,False,False,False
12,2025-01-12,12,1,January,1,2025,7,Sunday,True,False,False,False,False
13,2025-01-13,13,1,January,1,2025,1,Monday,False,False,False,False,False
14,2025-01-14,14,1,January,1,2025,2,Tuesday,False,False,False,False,False
15,2025-01-15,15,1,January,1,2025,3,Wednesday,False,False,False,False,False
16,2025-01-16,16,1,January,1,2025,4,Thursday,False,False,False,False,False
17,2025-01-17,17,1,January,1,2025,5,Friday,False,False,False,False,False
18,2025-01-18,18,1,January,1,2025,6,Saturday,True,False,False,False,False
19,2025-01-19,19,1,January,1,2025,7,Sunday,True,False,False,False,False
20,2025-01-20,20,1,January,1,2025,1,Monday,False,False,False,False,False
21,2025-01-21,21,1,January,1,2025,2,Tuesday,False,False,False,False,False
22,2025-01-22,22,1,January,1,2025,3,Wednesday,False,False,False,False,False
23,2025-01-23,23,1,January,1,2025,4,Thursday,False,False,False,False,False
24,2025-01-24,24,1,January,1,2025,5,Friday,False,False,False,False,False
25,2025-01-25,25,1,January,1,2025,6,Saturday,True,False,False,False,False
26,2025-01-26,26,1,January,1,2025,7,Sunday,True,False,False,False,False
27,2025-01-27,27,1,January,1,2025,1,Monday,False,False,False,False,False
28,2025-01-28,28,1,January,1,2025,2,Tuesday,False,False,False,False,False
29,2025-01-29,29,1,January,1,2025,3,Wednesday,False,False,False,False,False
30,2025-01-30,30,1,January,1,2025,4,Thursday,False,False,False,False,False
31,2025-01-31,31,1,January,1,2025,5,Friday,False,True,False,False,False
32,2025-02-01,1,2,February,1,2025,6,Saturday,True,False,True,False,False
33,2025-02-02,2,2,February,1,2025,7,Sunday,True,False,False,False,False
34,2025-02-03,3,2,February,1,2025,1,Monday,False,False,False,False,False
35,2025-02-04,4,2,February,1,2025,2,Tuesday,False,False,False,False,False
36,2025-02-05,5,2,February,1,2025,3,Wednesday,False,False,False,False,False
37,2025-02-06,6,2,February,1,2025,4,Thursday,False,False,False,False,False
38,2025-02-07,7,2,February,1,2025,5,Friday,False,False,False,False,False
39,2025-02-08,8,2,February,1,2025,6,Saturday,True,False,False,False,False
40,2025-02-09,9,2,February,1,2025,7,Sunday,True,False,False,False,False
41,2025-02-10,10,2,February,1,2025,1,Monday,False,False,False,False,False
42,2025-02-11,11,2,February,1,2025,2,Tuesday,False,False,False,False,False
43,2025-02-12,12,2,February,1,2025,3,Wednesday,False,False,False,False,False
44,2025-02-13,13,2,February,1,2025,4,Thursday,False,False,False,False,False
45,2025-02-14,14,2,February,1,2025,5,Friday,False,False,False,False,False
46,2025-02-15,15,2,February,1,2025,6,Saturday,True,False,False,False,False
47,2025-02-16,16,2,February,1,2025,7,Sunday,True,False,False,False,False
48,2025-02-17,17,2,February,1,2025,1,Monday,False,False,False,False,False
49,2025-02-18,18,2,February,1,2025,2,Tuesday,False,False,False,False,False
50,2025-02-19,19,2,February,1,2025,3,Wednesday,False,False,False,False,False
51,2025-02-20,20,2,February,1,2025,4,Thursday,False,False,False,False,False
52,2025-02-21,21,2,February,1,2025,5,Friday,False,False,False,False,False
53,2025-02-22,22,2,February,1,2025,6,Saturday,True,False,False,False,False
54,2025-02-23,23,2,February,1,2025,7,Sunday,True,False,False,False,False
55,2025-02-24,24,2,February,1,2025,1,Monday,False,False,False,False,False
56,2025-02-25,25,2,February,1,2025,2,Tuesday,False,False,False,False,False
57,2025-02-26,26,2,February,1,2025,3,Wednesday,False,False,False,False,False
58,2025-02-27,27,2,February,1,2025,4,Thursday,False,False,False,False,False
59,2025-02-28,28,2,February,1,2025,5,Friday,False,True,False,False,False
60,2025-03-01,1,3,March,1,2025,6,Saturday,True,False,True,False,False
61,2025-03-02,2,3,March,1,2025,7,Sunday,True,False,False,False,False
62,2025-03-03,3,3,March,1,2025,1,Monday,False,False,False,False,False
63,2025-03-04,4,3,March,1,2025,2,Tuesday,False,False,False,False,False
64,2025-03-05,5,3,March,1,2025,3,Wednesday,False,False,False,False,False
65,2025-03-06,6,3,March,1,2025,4,Thursday,False,False,False,False,False
66,2025-03-07,7,3,March,1,2025,5,Friday,False,False,False,False,False
67,2025-03-08,8,3,March,1,2025,6,Saturday,True,False,False,False,False
68,2025-03-09,9,3,March,1,2025,7,Sunday,True,False,False,False,False
69,2025-03-10,10,3,March,1,2025,1,Monday,False,False,False,False,False
70,2025-03-11,11,3,March,1,2025,2,Tuesday,False,False,False,False,False
71,2025-03-12,12,3,March,1,2025,3,Wednesday,False,False,False,False,False
72,2025-03-13,13,3,March,1,2025,4,Thursday,False,False,False,False,False
73,2025-03-14,14,3,March,1,2025,5,Friday,False,False,False,False,False
74,2025-03-15,15,3,March,1,2025,6,Saturday,True,False,False,False,False
75,2025-03-16,16,3,March,1,2025,7,Sunday,True,False,False,False,False
76,2025-03-17,17,3,March,1,2025,1,Monday,False,False,False,False,False
77,2025-03-18,18,3,March,1,2025,2,Tuesday,False,False,False,False,False
78,2025-03-19,19,3,March,1,2025,3,Wednesday,False,False,False,False,False
79,2025-03-20,20,3,March,1,2025,4,Thursday,False,False,False,False,False
80,2025-03-21,21,3,March,1,2025,5,Friday,False,False,False,False,False
81,2025-03-22,22,3,March,1,2025,6,Saturday,True,False,False,False,False
82,2025-03-23,23,3,March,1,2025,7,Sunday,True,False,False,False,False
83,2025-03-24,24,3,March,1,2025,1,Monday,False,False,False,False,False
84,2025-03-25,25,3,March,1,2025,2,Tuesday,False,False,False,False,False
85,2025-03-26,26,3,March,1,2025,3,Wednesday,False,False,False,False,False
86,2025-03-27,27,3,March,1,2025,4,Thursday,False,False,False,False,False
87,2025-03-28,28,3,March,1,2025,5,Friday,False,False,False,False,False
88,2025-03-29,29,3,March,1,2025,6,Saturday,True,False,False,False,False
89,2025-03-30,30,3,March,1,2025,7,Sunday,True,False,False,False,False
90,2025-03-31,31,3,March,1,2025,1,Monday,False,True,False,True,False
